Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,Cancelled
2008,1,7,1,1842,1845,2032,2040,WN,746,N746SW,50,55,37,-8,-3,ABQ,AMA,277,0
2008,1,7,1,911,905,1422,1440,WN,2126,N278WN,191,215,183,-18,6,ABQ,BWI,1670,0
2008,1,7,1,1441,1435,1718,1710,WN,45,N339SW,97,95,82,8,6,ABQ,DAL,580,0
2008,1,7,1,655,655,924,930,WN,87,N642WN,89,95,80,-6,0,ABQ,DAL,580,0
2008,1,7,1,2011,2015,2234,2240,WN,230,N618WN,83,85,75,-6,-4,ABQ,DAL,580,0
2008,1,7,1,1648,1630,1923,1905,WN,397,N442WN,95,95,78,18,18,ABQ,DAL,580,0
2008,1,7,1,1147,1130,1426,1405,WN,438,N629SW,99,95,81,21,17,ABQ,DAL,580,0
2008,1,7,1,1811,1810,2049,2045,WN,972,N367SW,98,95,79,4,1,ABQ,DAL,580,0
2008,1,7,1,1302,1305,1537,1540,WN,1940,N360SW,95,95,83,-3,-3,ABQ,DAL,580,0
2008,1,7,1,1737,1710,2005,1945,WN,2969,N631SW,88,95,79,20,27,ABQ,DAL,580,0
2008,1,7,1,939,940,1209,1215,WN,3421,N520SW,90,95,81,-6,-1,ABQ,DAL,580,0
2008,1,7,1,1719,1645,1831,1800,WN,294,N628SW,72,75,56,31,34,ABQ,DEN,349,0
2008,1,7,1,631,635,734,750,WN,1218,N753SW,63,75,51,-16,-4,ABQ,DEN,349,0
2008,1,7,1,1140,1140,1300,1255,WN,3050,N213WN,80,75,55,5,0,ABQ,DEN,349,0
2008,1,7,1,612,615,704,710,WN,348,N634SW,52,55,40,-6,-3,ABQ,ELP,223,0
2008,1,7,1,1735,1735,1827,1825,WN,500,N403WN,52,50,35,2,0,ABQ,ELP,223,0
2008,1,7,1,1008,1005,1055,1055,WN,1001,N632SW,47,50,37,0,3,ABQ,ELP,223,0
2008,1,7,1,628,630,921,930,WN,1392,N479WN,113,120,102,-9,-2,ABQ,HOU,759,0
2008,1,7,1,1921,1845,2214,2140,WN,1925,N436WN,113,115,99,34,36,ABQ,HOU,759,0
2008,1,7,1,1058,1050,1353,1350,WN,3234,N469WN,115,120,105,3,8,ABQ,HOU,759,0
2008,1,7,1,1440,1245,1521,1320,WN,1328,N699SW,101,95,83,121,115,ABQ,LAS,487,0
2008,1,7,1,2017,2020,2049,2055,WN,1493,N613SW,92,95,83,-6,-3,ABQ,LAS,487,0
2008,1,7,1,954,950,1045,1025,WN,1586,N327SW,111,95,83,20,4,ABQ,LAS,487,0
2008,1,7,1,648,650,719,725,WN,1653,N267WN,91,95,77,-6,-2,ABQ,LAS,487,0
2008,1,7,1,1539,1520,1611,1555,WN,2284,N713SW,92,95,75,16,19,ABQ,LAS,487,0
2008,1,7,1,1804,1755,1840,1830,WN,2788,N307SW,96,95,86,10,9,ABQ,LAS,487,0
2008,1,7,1,1125,1115,1155,1150,WN,2874,N384SW,90,95,79,5,10,ABQ,LAS,487,0
2008,1,7,1,1158,1200,1304,1305,WN,467,N653SW,126,125,105,-1,-2,ABQ,LAX,677,0
2008,1,7,1,1513,1500,1615,1605,WN,1135,N346SW,122,125,105,10,13,ABQ,LAX,677,0
2008,1,7,1,729,730,833,835,WN,1486,N640SW,124,125,109,-2,-1,ABQ,LAX,677,0
2008,1,7,1,2019,2005,2121,2105,WN,2027,N360SW,122,120,108,16,14,ABQ,LAX,677,0
2008,1,7,1,1554,1530,1741,1725,WN,555,N527SW,47,55,38,16,24,ABQ,LBB,289,0
2008,1,7,1,1655,1610,1857,1810,WN,2374,N323SW,62,60,45,47,45,ABQ,MAF,332,0
2008,1,7,1,831,835,1111,1125,WN,290,N415WN,100,110,87,-14,-4,ABQ,MCI,718,0
2008,1,7,1,1929,1855,2212,2145,WN,580,N627SW,103,110,87,27,34,ABQ,MCI,718,0
2008,1,7,1,914,910,1432,1430,WN,1320,N282WN,198,200,185,2,4,ABQ,MCO,1552,0
2008,1,7,1,1315,1250,1839,1810,WN,3245,N253WN,204,200,185,29,25,ABQ,MCO,1552,0
2008,1,7,1,942,935,1258,1315,WN,2524,N288WN,136,160,124,-17,7,ABQ,MDW,1121,0
